"paragraph","message","polarity_class","polarity_score","emotion"
"অক্সফোর্ড বিশ্ববিদ্যালয়ের অন্যতম সেরা স্টুডেন্ট ছিলেন তার সময়ে।চাইলেই অন্যদের মতো আরাম আয়েশে কাটাতে পারতেন।কিন্তু, সুখে থাকতে ভূতে কিলায়, তাইতো পাকিস্তানের মতো নোংরা রাজনীতির মাঠে নাম লেখালেন।","","stronglyNegative",-0.9926795959472656,"{""neutral"":0.009859864600002766,""happy"":0.11690115183591843,""anger/disgust"":0.6415308713912964,""sadness"":0.5008138418197632,""surprise"":0.09200134873390198,""fear"":0.12324117869138718}"
"অক্সফোর্ডে পড়া স্টুডেন্ট, বিশ্বকাপ ✌ ক্যাপ্টেন, দেশ ✌ প্রধান মন্ত্রী।আল্লাহর রহমতে তার গদিও ঠিক থাকবে।","","weaklyPositive",0.5999120950698853,"{""neutral"":0.10567504167556763,""happy"":0.26315638422966003,""anger/disgust"":0.7092487215995789,""sadness"":0.09401945769786835,""surprise"":0.02416466549038887,""fear"":0.017481615766882896}"
"অথচ ৩গুন সময়ের বেশি ক্ষমতায় থাকা যায় এই সুত্র বোধহয় তারা জানেনা।","","stronglyNegative",-0.945838737487793,"{""neutral"":0.029870348051190376,""happy"":0.003263691673055291,""anger/disgust"":0.37464115023612976,""sadness"":0.5508185625076294,""surprise"":0.11628974229097366,""fear"":0.01776062324643135}"
"অথচ আমাদের দেশের মিডিয়া, ইমরান খানকে প্রায় ক্ষমতাচ্যুত করেই ফেলছিলো 🤪","","stronglyNegative",-0.8807114839553833,"{""neutral"":0.029464948922395706,""happy"":0.0038768434897065163,""anger/disgust"":0.47920358180999756,""sadness"":0.4681842029094696,""surprise"":0.10426871478557587,""fear"":0.12026271224021912}"
"অথচ উনি কয়েক দিন আগে নিজ দল থেকে নির্বাচিত হওয়া পাঞ্জাবের মুখ্যমন্ত্রীকে পদত্যাগ করাতে বাধ্য করেছে। তখন কে ছিল মীরজাফর? ধর্মের কল বাতাসে নড়ে বাংলায় প্রবাদ আছে। যেমন কর্ম তেমন ফলও পেতে হয়। এটাই প্রাকৃতিক ন্যায়বিচার। কেও ভুল যাবেন না ইমরানের পুরো নাম ইমরান খান নিয়াজী। ইনি সেই নিয়াজীর বংশধর বা আত্মীয় যার আদেশে ১৯৭১ সালে স্বদেশের নিরস্ত্র বাঙালিদের হত্যা করা হয় ও নারীদের ধর্ষণ করা হয়।পরে যৌথ বাহিনীর বীরত্বের কাছে তাকে লজ্জাজনক ভাবে পরাজয় স্বিকার করতে হয়।","","stronglyNegative",-0.9774050712585449,"{""neutral"":0.003558460623025894,""happy"":0.01624111831188202,""anger/disgust"":0.9313885569572449,""sadness"":0.23368225991725922,""surprise"":0.020317476242780685,""fear"":0.047956712543964386}"
"অনুমেয়-ই ছিল😋😋তাহার এদেশীয় কতিপয় ভক্তকূলের জন্য এক বদনা সমবেদনা😜😜","","weaklyPositive",0.47435717582702647,"{""neutral"":0.011676935479044914,""happy"":0.01292550377547741,""anger/disgust"":0.032668113708496094,""sadness"":0.9313406944274902,""surprise"":0.002350775757804513,""fear"":0.00328662502579391}"
"অনেক বা ল ফালাইছে এবার আঁটি বাইন্ধা ল‌ও","","stronglyNegative",-0.9997629165649414,"{""neutral"":0.011580861173570156,""happy"":0.007406704127788544,""anger/disgust"":0.8980293273925781,""sadness"":0.0664716362953186,""surprise"":0.013008840382099152,""fear"":0.013640837743878365}"
"অনেক ভালো প্রধানমন্ত্রী। সব দেশের প্রধানমন্ত্রী এরকম হওয়া উচিত।","","stronglyPositive",0.9997957706451417,"{""neutral"":0.0005048518069088459,""happy"":0.9990154504776001,""anger/disgust"":0.0013292358489707112,""sadness"":0.0006523336051031947,""surprise"":0.0002566697367001325,""fear"":0.00002619623592181597}"
"অনেকেই ইমরান খানকে মুসলিম বিশ্বের বিশাল নেতা মনে করেন! অনেকে আবার মনে করেন দ্বিতীয় এরদোয়ান!!অথচ এই ইমরান খান একসময় প্লেবয় ছিল। প্রফেশনাল প্লেবয় মডেলিং করেছে। বিকিনি পরা নারী মডেলদের সাথে প্লেবয় মডেলিংয়ে ফটো শ্যুট করতো। তাছাড়া সমকামী ছিলেন এক সময়। এসব কারনে ৯০ দশকে রাজনীতিতে নামার ঘোষনা দিলে খোদ পাকিস্তানেই সমালোচনার ঝড় ওঠে তার বিরুদ্ধে। তবে ক্রিকেট ক্যারিয়ারের কারিশমায় সব জায়গাএদেশে ইমরান খানের অন্ধ ভক্তদের দেখলে অবাক না হয়ে উপায় থাকেনা!ক্রিকেটার না রাজনীতিতে ইমরান খানের কথা বলছি। ১৯৭১ সালের মার্চে পাকিস্তানের গনহত্যা ধামা চাপা দেওয়ার জন্য ঢাকায় ম্যাচ লেখতে আসে জেনারেল এ.এ.কে নিয়াজির ভাতিজা ইমরান খানের নেতৃত্বে পাকিস্তান এ দল। ম্যাচ শেষে লন্ডনে যাওয়ার পর সাংবাদিক ইমরান খানকে প্রশ্ন করেন, ""ইমরান, পূর্ব পাকিস্তানে গনহত্যায় সাধারণ মানুষকে হত্যা করা হচ্ছে, আপনারা সেখানে পরিস্থিতি কেমন দেখলেন?"" -""ইমরান খান উত্তরে বলেন সেখানে কোনো গনহত্যা হচ্ছে না। আমি এরকম কিছু দেখেনি। পরিস্থিতি খুবই ঠান্ডা""। পশ্চিমা গনমাধ্যমের কাছে ইমরান খান তখন পাকিস্তান এ দলের ক্যাপ্টেন হিসাবে বলেছিলেন পূর্ব পাকিস্তানে যেটা হচ্ছে সেটা ইন্টারন্যার অ্যাফেয়ার। এই বলে গনহত্যার ঘটনা অস্বীকার করে ধামাচাপা দেওয়ার চেষ্টা করেন ইমরান খান। ১৯৭১ সালে আমাদের ওপর পাকিস্তানের পৈচাশিক আচরন গোটা বিশ্ব দেখেছে। ঘটনাচক্রে সেই ইমরান খান আজ পাকিস্তানের প্রধানমন্ত্রী। কোনোভাবেই বাঙালী হয়ে তাই রাজনীতিবিদ ইমরানের প্রতি আমার বিন্দুমাত্র ভালোবাসা জন্মায় না৷।য় পার পেয়ে গেছেন ইমরান খান নিয়াজি।এর বাইরে জেমিমা গোল্ড স্মিথ নামের নিজের বয়সের অর্ধেক বয়সী এক ইহুদী মেয়েকেও বিয়ে করেছিলেন এই ইমরান খান। জেমিমার বাবা ইহুদি ধনকুবের ব্যবসায়ী ছিলো। তখন ইমরানের বয়স ৫০ ছুইছুই আর জেমিমার ২০!! এটা নিয়ে চরম সমালোচনায় পড়তে হয় ইমরান খানকে। অনেকে বলেছিলেন টাকার লোভে নিজের মেয়ের বয়সী ইহুদী মেয়েকে বিয়ে করেছিলেন ইমরান খান।","","stronglyNegative",-0.9994348526000977,"{""neutral"":0.012655651196837425,""happy"":0.02785426750779152,""anger/disgust"":0.5370913743972778,""sadness"":0.2854798138141632,""surprise"":0.5141162276268005,""fear"":0.33350199460983276}"
"অন্য কোন দুর্নীতি পায়নি পেয়েছে একটা উপহার কেলেঙ্কারির ঘটনা!!!","","stronglyNegative",-0.9999305486679078,"{""neutral"":0.1041765883564949,""happy"":0.0010807754006236792,""anger/disgust"":0.7790026068687439,""sadness"":0.023428920656442642,""surprise"":0.27206355333328247,""fear"":0.004402006044983864}"
"অপ্রিয় হলেও সত্য - ইমরান খান পাকিস্তানের সংখ্যাগরিষ্ঠ জনগণের প্রত্যক্ষ ভোটে নির্বাচিত প্রধানমন্ত্রী এবং সবচেয়ে জনপ্রিয় ব্যক্তিত্ব। শুধু তার আশপাশের রাজনৈতিক দুর্বৃত্তদের জন্য আজ এই অবস্থা। তবে ইউক্রেন ইস্যুতে নিরপেক্ষ থাকাই শ্রেয় ছিল।","","weaklyPositive",0.5998930215835572,"{""neutral"":0.007499822415411472,""happy"":0.11763928830623627,""anger/disgust"":0.7558558583259583,""sadness"":0.5624943971633911,""surprise"":0.027578234672546387,""fear"":0.0487828329205513}"
"অবশ্যই আমেরিকার ইন্ধনে।","","neutral",-0.17931383848190308,"{""neutral"":0.03042510710656643,""happy"":0.0058361138217151165,""anger/disgust"":0.7994931936264038,""sadness"":0.08561165630817413,""surprise"":0.057207897305488586,""fear"":0.1230240985751152}"
"অবশ্যই মুমিনদের পক্ষে আল্লাহ আছেন।","","stronglyPositive",0.9998517513275147,"{""neutral"":0.026977302506566048,""happy"":0.986248791217804,""anger/disgust"":0.0005516741075553,""sadness"":0.00040558306500315666,""surprise"":0.0010053570149466395,""fear"":0.00017490035679657012}"
"অভাগা পাকিস্তানী বোজলোনা","","stronglyNegative",-0.9998083591461182,"{""neutral"":0.0013525653630495071,""happy"":0.0013800791930407286,""anger/disgust"":0.9686431884765625,""sadness"":0.07050588726997375,""surprise"":0.0018143600318580866,""fear"":0.001544853555969894}"
"অভিনন্দন বিরোধীদের জয়ের জন্য!কিছু মন্তব্য দেখে হাসি পাচ্ছে 😃😃তারা জয় পরাজয় কিছুই বুঝে না কিন্তুু বিশেষজ্ঞ😂😂পূর্ণ মেয়াদ পূরণ করতে পারলো না বিরোধীদের জন্য তবুও নাকি ইমরান জিতে গেলো😂😂😂😂","","weaklyNegative",-0.5964295148849488,"{""neutral"":0.17072340846061707,""happy"":0.5094708800315857,""anger/disgust"":0.27706214785575867,""sadness"":0.21740218997001648,""surprise"":0.15870168805122375,""fear"":0.040909796953201294}"
"অভিনন্দন...","","weaklyPositive",0.5961699724197389,"{""neutral"":0.058095209300518036,""happy"":0.9526524543762207,""anger/disgust"":0.004420807585120201,""sadness"":0.004407377913594246,""surprise"":0.001630326732993126,""fear"":0.0010057545732706785}"
"অরজিনাল মাগি খুর","","stronglyNegative",-0.9998994588851928,"{""neutral"":0.00014524163270834833,""happy"":0.0003031895321328193,""anger/disgust"":0.9998277425765991,""sadness"":0.0010276057291775942,""surprise"":0.00047640028060413897,""fear"":0.0000121520697575761}"
"অসৎ রাজনিতিবিদের কাজই হলো প্রতিদ্বন্বির চরিএ হনন করা।","","stronglyNegative",-0.9999314308166504,"{""neutral"":0.007579013239592314,""happy"":0.0029541081748902798,""anger/disgust"":0.9452470541000366,""sadness"":0.05461905524134636,""surprise"":0.0009041378507390618,""fear"":0.0016376185230910778}"
"অসত্যের কাছে কভু নত নাহি হবে শির। ভয়ে কাঁপে কাপুরুষ লড়ে যায় বীর। ___কাজী নজরুল ইসলাম","","weaklyPositive",0.4558295965194703,"{""neutral"":0.4680004119873047,""happy"":0.01930333860218525,""anger/disgust"":0.005134349688887596,""sadness"":0.038364049047231674,""surprise"":0.020060213282704353,""fear"":0.7274870276451111}"
"অসাধারণ একজন ঈমানদার মুসলমান শাসককে হারালো বিশ্ব।","","stronglyPositive",0.8409098148345948,"{""neutral"":0.009927552193403244,""happy"":0.16089993715286255,""anger/disgust"":0.009992217645049095,""sadness"":0.8616111278533936,""surprise"":0.1856522113084793,""fear"":0.010079595260322094}"
"আই এস জঙ্গীর ঘাটি তৈরী করেছে তাই তো প্রাইয় শোনা যায় মসজিদে বোমা হামলায় নিহত ৫০ আহত প্রায় ৫০০। তাদের ইতিহাস এতো জঘন্য তা সারা বিশ্ববাসী যানেন স্বাধীনতা দিবসে বাংলাদেশের বাঙালিদের কাছে ক্ষমা চাওয়া উচিত ছিল।","","stronglyNegative",-0.9998425245285034,"{""neutral"":0.003909457474946976,""happy"":0.005005119368433952,""anger/disgust"":0.786817193031311,""sadness"":0.5031487941741943,""surprise"":0.02274249494075775,""fear"":0.2639508545398712}"
"আউট আর নট আউটের বিষয় না। ইহা গণতন্ত্রের সৌন্দর্য।।","","weaklyPositive",0.5888082504272462,"{""neutral"":0.08123692125082016,""happy"":0.7096210718154907,""anger/disgust"":0.3010302484035492,""sadness"":0.026633715257048607,""surprise"":0.019935835152864456,""fear"":0.0034718650858849287}"
"আগে ৭১ এর কুকর্মের জন্য ক্ষমা চা।","","weaklyNegative",-0.5990471124649048,"{""neutral"":0.0019281546119600534,""happy"":0.0009191783028654754,""anger/disgust"":0.9640170335769653,""sadness"":0.08487964421510696,""surprise"":0.0008191465167328715,""fear"":0.0009432569495402277}"
"আগে ক্ষমা চাও তারপর কথা কও ভাতিজা","","weaklyNegative",-0.4703494548797607,"{""neutral"":0.003926199395209551,""happy"":0.0014549707993865013,""anger/disgust"":0.9469505548477173,""sadness"":0.12691055238246918,""surprise"":0.0038109824527055025,""fear"":0.0019007844384759665}"
"আগে চৌদ্দ গুষ্টি মাফ চা ।মাফ না চাওয়া পর্যন্ত তোদের ওপর খোদায়ী গজব চলতেই থাকবে।আইউব, ইয়াহিয়া, পারভেজ, বাজওয়া তোদের গনতন্ত্রের ইয়ে করতে থাকবে।","","stronglyNegative",-0.9980809688568115,"{""neutral"":0.0008246164652518928,""happy"":0.0016073196893557906,""anger/disgust"":0.9932208061218262,""sadness"":0.029642174020409584,""surprise"":0.002134128240868449,""fear"":0.006297384388744831}"
"আগে তো সরকার টা গঠন হোক প্রস্তাবিত প্রধানমন্ত্রীর বিরুদ্ধে দুর্নীতির মামলা সুরাহা হোক","","weaklyNegative",-0.5560635566711425,"{""neutral"":0.001931140199303627,""happy"":0.0002938565448857844,""anger/disgust"":0.9964650869369507,""sadness"":0.004888675641268492,""surprise"":0.0006088127265684307,""fear"":0.00023670069640502334}"
"আগে নিজ দেশে শান্তি নিশ্চিত কর। নিজ দেশের জঙ্গি, গোয়েন্দা, আর্মি ঠিক কর। তাহলেই কেবল এই অঞ্চলে শান্তি নিশ্চিত হয়ে যাবে।","","weaklyPositive",0.5789668798446657,"{""neutral"":0.009368861094117165,""happy"":0.008163202553987503,""anger/disgust"":0.981090784072876,""sadness"":0.021142173558473587,""surprise"":0.0030771014280617237,""fear"":0.0019493650179356337}"
"আগে নিজেদের দেশে শান্তি আনেন 🤪","","weaklyNegative",-0.3764737486839294,"{""neutral"":0.0012938324362039566,""happy"":0.0007421505870297551,""anger/disgust"":0.9957693815231323,""sadness"":0.00854387879371643,""surprise"":0.0008699345635250211,""fear"":0.0002422487741569057}"
"আচ্ছা পাকিস্থানে পূর্ন মেয়াদকাল প্রধান মন্ত্রি কে ছিলেন? কেউ কি বলতে পারবেন ?","","neutral",-0.1999903678894043,"{""neutral"":0.9974343180656433,""happy"":0.0002972097136080265,""anger/disgust"":0.0006432470981962979,""sadness"":0.0005128163029439747,""surprise"":0.0012630040291696787,""fear"":0.0007081047515384853}"
"আচ্ছা মুমিন ভাইয়েরা এটা গজব না পরিক্ষা.... 🤔🤔🤔","","weaklyNegative",-0.39650316238403316,"{""neutral"":0.7251445055007935,""happy"":0.0116080641746521,""anger/disgust"":0.11614016443490982,""sadness"":0.08298380672931671,""surprise"":0.06807824224233627,""fear"":0.10765425115823746}"
"আজ কোথায় গণতন্ত্রের দেশ ভারত আর কোথায় পাকিস্তান! এবার মোল্লারা নিজেদের মধ্যে কোপাকুপি শুরু করবে। চা ওলা অক্সফোর্ডের মাতালকে পথে বসিয়ে দিল 🤣","","stronglyNegative",-0.9997961521148682,"{""neutral"":0.0027486884500831366,""happy"":0.0026728943921625614,""anger/disgust"":0.955208957195282,""sadness"":0.14816845953464508,""surprise"":0.012763001956045628,""fear"":0.02451391890645027}"
"আজকের বাদশা কালকের ফকির এই প্রবাদ বাক্যটি আবারও প্রমানিত। তারপরেও মানুষ ক্ষমতা পেলে সব ভুলে যায়। পরীক্ষার হলে বসে ফেসবুকে লাইভ করে।তবে পাকিস্তানে যে কিছুটা গনতন্ত্র আছে সেটা প্রমানিত। ইমরান খান অনেকের চাইতে ভালো ছিল।","","weaklyNegative",-0.5997413396835327,"{""neutral"":0.026873577386140823,""happy"":0.5799131393432617,""anger/disgust"":0.5015471577644348,""sadness"":0.4971877932548523,""surprise"":0.0772818922996521,""fear"":0.04742620885372162}"
"আজব এক দেশ,","","stronglyNegative",-0.9981749296188355,"{""neutral"":0.03699222952127457,""happy"":0.009217566810548306,""anger/disgust"":0.18276706337928772,""sadness"":0.081085205078125,""surprise"":0.8322551846504211,""fear"":0.04917149245738983}"
"আঞ্চলিক শান্তি না হুমকি! পাইক্কাগো পারমাণবিক বুমা ১৯৭১ থাকলে বাংলা আজও জ্বলতো! শাপের কোন অংশই কম বিপদজনক নয়","","stronglyNegative",-0.9999134778976441,"{""neutral"":0.007824379950761795,""happy"":0.004512293729931116,""anger/disgust"":0.11386432498693466,""sadness"":0.11164441704750061,""surprise"":0.01887761987745762,""fear"":0.9674652814865112}"
"আটি হেযাটি হে","","stronglyPositive",0.944572949409485,"{""neutral"":0.26117217540740967,""happy"":0.02308250591158867,""anger/disgust"":0.21171732246875763,""sadness"":0.1773487776517868,""surprise"":0.07046680897474289,""fear"":0.3197125494480133}"
"আধিপত্য বাদী ও সাম্রাজ্য বাদী আমেরিকার বলে!!!!","","neutral",-0.199983811378479,"{""neutral"":0.7136627435684204,""happy"":0.005933400709182024,""anger/disgust"":0.31726163625717163,""sadness"":0.04388889670372009,""surprise"":0.06229960545897484,""fear"":0.013595283962786198}"
"আধুনিক হও বেডা,,বিজ্ঞানে মন দেন,এমনিই উন্নতি হবে,,পুরাতন পদ্ধতিতে পড়ে থাকলে পিছনেই যেতে হবে।।","","weaklyNegative",-0.5654170989990235,"{""neutral"":0.0003268001019023359,""happy"":0.0007022835197858512,""anger/disgust"":0.9970664381980896,""sadness"":0.025315232574939728,""surprise"":0.0007399687892757356,""fear"":0.000239338623941876}"
"আনুষ্ঠানিক ক্ষমা চাওয়ার আগে, তাদের সাথে কোন কথাই নাই। অবশ্য শেখ হাসিনা তার স্বার্থের জন্য সব পারবে।","","weaklyNegative",-0.5999367713928223,"{""neutral"":0.017209889367222786,""happy"":0.010963303968310356,""anger/disgust"":0.8765432834625244,""sadness"":0.1682441085577011,""surprise"":0.04042264446616173,""fear"":0.015840178355574608}"
"আপনাদের দেশের মানুষ বেশির ভাগই মিরজাফর যদি একতা থাকতেন আর মানুষকে ভালোবাসতেন তাহলে পাকিস্তান হতো সুপার পাওয়ার বিশ্বে একতা নেই তাই মীর জাফর নয় বলুন রাজাকারের বাচ্চা ওরা তবে আপনাকে আমি মনে প্রানে ভালোবাসি আপনি ভালো মানুষ এগিয়ে যান ইনশাআল্লাহ আপনার মঙ্গল করবেন","","stronglyNegative",-0.9455633163452148,"{""neutral"":0.0023352280259132385,""happy"":0.14542901515960693,""anger/disgust"":0.9755077958106995,""sadness"":0.043497055768966675,""surprise"":0.0017499143723398447,""fear"":0.0016591643216088414}"
"আপনাদের ফোন থেকে তোলা।একটি করে প্রকৃতির সৌন্দর্য তুলে ধরোন। 🥀🙂","","weaklyPositive",0.5999540805816651,"{""neutral"":0.028743809089064598,""happy"":0.9698070287704468,""anger/disgust"":0.0022581417579203844,""sadness"":0.003006068989634514,""surprise"":0.02768145315349102,""fear"":0.0008643590263091028}"
"আপনাদের বড় সমস্যা,বাংলাদেশের মতো ক্ষমতার ভাঁওতা বাজি করছেন না।জনগনকে স্বপ্নে ভাসিয়ে কচু দেওয়া হয়","","stronglyNegative",-0.9998365640640259,"{""neutral"":0.002724079415202141,""happy"":0.002422136953100562,""anger/disgust"":0.9769008159637451,""sadness"":0.06221386417746544,""surprise"":0.0080554885789752,""fear"":0.0068376255221664906}"
"আপনার সারাশরীলে যদি গা থাকে, তা হলে ওষুধ লাগাবেন কয়যায়গাই, পাকিস্তানি আগের থেকেই বেশির ভাগ মানুষ ঘুষখোর,","","stronglyNegative",-0.9996285915374756,"{""neutral"":0.0005030955071561038,""happy"":0.0006933793774805963,""anger/disgust"":0.9946106672286987,""sadness"":0.05043650418519974,""surprise"":0.0018063595052808523,""fear"":0.0018913164967671037}"
"আপনারা বাংলাদেশে ইমরান চর্চা কেনো এতো করছেন বুঝে উঠতে পারছি না।","","weaklyNegative",-0.5998924016952514,"{""neutral"":0.04806486517190933,""happy"":0.028067046776413918,""anger/disgust"":0.7293481826782227,""sadness"":0.17342263460159302,""surprise"":0.169873908162117,""fear"":0.008968375623226166}"
"আপনি আবারো ফিরবেন ইমরান খান আপনার সেই আসনে ইনশাআল্লাহ। আপনার কয়েকটি সফলতার মধ্যে আমেরিকার দালালি না করার সফলতা সবার আগে। বিশ্বাসঘাতক ও মীর জাফররা আছে থাকবে দালালী করবে।ওরা করুক, বিচার একদিন হবেই।","","neutral",0.1544450879096985,"{""neutral"":0.012207793071866035,""happy"":0.7026664614677429,""anger/disgust"":0.7309226989746094,""sadness"":0.10475040972232819,""surprise"":0.008378444239497185,""fear"":0.012055625207722187}"
"আপনি দুধে ধোয়া তুলসি পাতা","","neutral",-0.19369336366653445,"{""neutral"":0.30401477217674255,""happy"":0.01852990686893463,""anger/disgust"":0.45508286356925964,""sadness"":0.02638198621571064,""surprise"":0.10936751216650009,""fear"":0.013120523653924465}"
"আপনি নওয়াজ শরীফ থেকে অনেক ভাল কাজ করেছেন।","","stronglyPositive",0.9999081850051881,"{""neutral"":0.0008197535644285381,""happy"":0.9983547329902649,""anger/disgust"":0.0032332544215023518,""sadness"":0.0015087791252881289,""surprise"":0.0007076679030433297,""fear"":0.00008652315591461957}"
"আপনি ফেরেস্তা 😏","","weaklyPositive",0.5762801408767702,"{""neutral"":0.15321257710456848,""happy"":0.46973446011543274,""anger/disgust"":0.3152658939361572,""sadness"":0.009825763292610645,""surprise"":0.026571009308099747,""fear"":0.0027813853230327368}"
"আপনি লন্ডনে খুব আরামে আছেন","","stronglyPositive",0.9998538017272951,"{""neutral"":0.00021005365124437958,""happy"":0.9996457099914551,""anger/disgust"":0.0003204690001439303,""sadness"":0.00044553130283020437,""surprise"":0.00045379868242889643,""fear"":0.000024891345674404874}"
"আপনি হলেন দৃর্নীতির বরপুত্র! নিরপেক্ষ ভোট হলে ইমরানের সাথে দৌড়াতে পারবেন কি!","","weaklyNegative",-0.5944981575012207,"{""neutral"":0.5459145903587341,""happy"":0.028673464432358742,""anger/disgust"":0.47612282633781433,""sadness"":0.07800642400979996,""surprise"":0.08277509361505508,""fear"":0.026728197932243347}"
